"112/03/01","50,523,994","1,927,207,900","38.85","38.85","37.60","37.80","-1.35","26,280",
"112/03/02","18,212,319","687,326,038","37.80","38.15","37.45","37.90","+0.10","10,091",
"112/03/03","14,693,838","555,369,779","38.10","38.15","37.65","37.75","-0.15","8,865",
"112/03/06","12,088,991","459,311,195","38.00","38.10","37.85","37.95","+0.20","7,352",
"112/03/07","12,798,027","486,043,747","38.05","38.10","37.90","37.95"," 0.00","7,279",
"112/03/08","21,791,272","820,456,422","37.85","37.90","37.50","37.75","-0.20","15,164",
"112/03/09","23,896,022","893,532,917","37.75","37.85","37.15","37.20","-0.55","17,250",
"112/03/10","25,192,335","925,036,302","36.90","36.90","36.60","36.70","-0.50","18,663",
"112/03/13","22,518,921","823,166,227","36.45","37.00","36.15","36.75","+0.05","12,938",
"112/03/14","17,569,854","644,482,495","36.40","37.00","36.30","36.75"," 0.00","9,564",
"112/03/15","15,657,070","581,231,855","36.90","37.30","36.90","37.10","+0.35","7,787",
"112/03/16","20,235,848","739,856,223","36.90","37.00","36.30","36.35","-0.75","12,792",
"112/03/17","31,846,968","1,161,360,960","36.60","36.75","36.35","36.40","+0.05","10,838",
"112/03/20","11,109,324","409,265,756","36.50","37.00","36.50","36.90","+0.50","5,530",

